[2026-05-02 22:34:32] INFO - Created default 'PIF Standard' template
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:29] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:29] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:30] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/clienti
[2026-05-02 22:35:30] INFO - GET /api/clienti - Status: 429
[2026-05-02 22:35:35] WARNING - Rate limit exceeded for IP: 127.0.0.1 on /api/proiecte
[2026-05-02 22:35:35] INFO - GET /api/proiecte - Status: 429
[2026-05-02 22:36:45] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 22:36:45] INFO - GET /api/proiecte - Status: 200
[2026-05-02 22:36:55] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 22:36:55] INFO - GET /api/proiecte - Status: 200
[2026-05-02 22:36:55] INFO - POST /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - IP: 127.0.0.1
[2026-05-02 22:36:55] INFO - Equipment created: 215280d7-7d33-44d9-8511-bd0368c08586 for project 25_020_Anfeed_ACS880-04
[2026-05-02 22:36:55] INFO - POST /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - Status: 201
[2026-05-02 22:37:01] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - IP: 127.0.0.1
[2026-05-02 22:37:01] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - Status: 200
[2026-05-02 22:37:28] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/clienti - Status: 200
[2026-05-02 22:37:28] INFO - GET /api/templates - IP: 127.0.0.1
[2026-05-02 22:37:28] INFO - GET /api/templates - Status: 200
